Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Ações_Ofensivas_BemSucedidas_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Ações_Ofensivas_BemSucedidas_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Ações_Ofensivas_BemSucedidas_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
5,0.512195,0.595406,0.322867,0.278892,1.0,0.119246,0.989583,0.595408,1.0,1.0,0.345978,0.309886,Felipe Andrade,Fluminense,Fluminense,"RDMF, DMF, RCMF",RDMF,7,21,0,2024-12-31,7,599,Brazil,Brazil,right,182,76,no,RJ,Testing,2024,Primeiro Volante Equilibrado,0.31,8,10,20,0.434634,0.365886,0.427428,0.5714,0.474684,0.408008,0.5625,0.474501,0.345461,0.281728,0.553805,5,3,8,9,1,8,2.0,5,1,1.0,8,50,70,20,10,90,20,80,50,90,90,20
3,0.126829,0.117277,0.322074,0.369801,0.531162,0.0,0.447917,0.597902,0.552465,0.471761,0.0,0.028696,Danrley,Volta Redonda,Volta Redonda,"DMF, RCMF, LCMF",DMF,7,22,0,,7,508,Brazil,Brazil,right,182,83,no,RJ,Testing,2024,Primeiro Volante Equilibrado,0.029,9,10,10,0.434634,0.365886,0.427428,0.5714,0.474684,0.408008,0.5625,0.474501,0.345461,0.281728,0.553805,8,8,9,8,5,10,6.0,4,3,2.0,10,20,20,10,20,50,0,40,60,70,80,0
6,0.012195,0.0,0.0,1.0,0.288381,0.056421,0.0,0.158687,0.010533,0.089701,0.70994,0.0,Rodrigo Dantas,Sampaio Corrêa RJ,Sampaio Corrêa RJ,"DMF, LCMF",DMF,7,34,0,,12,987,Brazil,Brazil,right,182,75,no,RJ,Testing,2024,Primeiro Volante Equilibrado,0.0,10,10,0,0.434634,0.365886,0.427428,0.5714,0.474684,0.408008,0.5625,0.474501,0.345461,0.281728,0.553805,9,10,10,1,8,9,10.0,8,9,8.0,3,10,0,0,90,20,10,0,20,10,20,70
4,0.658177,0.380213,1.0,0.110682,0.367122,0.327809,0.236287,0.234271,0.275815,0.10303,0.200879,1.0,Rômulo,Internacional,Internacional,"DMF, RCMF, RB",DMF,7,24,200000,,12,541,Brazil,Brazil,right,182,75,no,RS,Testing,2024,Primeiro Volante Equilibrado,1.0,1,12,91,0.498436,0.415925,0.301727,0.375016,0.32675,0.387468,0.334037,0.39735,0.302928,0.375253,0.289596,4,6,1,10,4,7,8.0,6,6,9.0,8,66,50,91,16,66,41,33,50,50,25,33
0,0.430295,0.584477,0.0,0.321265,1.0,0.91395,0.261603,0.199329,0.112521,0.0,1.0,0.994225,C. Aránguiz,Internacional,Internacional,"DMF, RCMF",DMF,7,34,3500000,2025-06-30,12,958,Chile,Chile,right,171,69,no,RS,Testing,2024,Primeiro Volante Equilibrado,0.994,2,12,83,0.498436,0.415925,0.301727,0.375016,0.32675,0.387468,0.334037,0.39735,0.302928,0.375253,0.289596,6,4,12,7,1,2,7.0,7,8,11.5,1,50,66,0,41,91,83,41,41,33,4,91
8,0.0,0.0,0.062047,1.0,0.542398,1.0,0.42616,0.147846,0.18319,0.339394,0.539551,0.930426,Bruno Camilo,Avenida,Avenida,"RDMF, AMF, RCMF",RDMF,7,26,0,,10,807,Brazil,Brazil,right,173,70,no,RS,Testing,2024,Primeiro Volante Equilibrado,0.93,3,12,75,0.498436,0.415925,0.301727,0.375016,0.32675,0.387468,0.334037,0.39735,0.302928,0.375253,0.289596,12,12,10,1,2,1,4.0,9,7,7.0,2,0,0,16,91,83,91,66,25,41,41,83
7,0.336461,0.161519,0.576971,0.551553,0.446646,0.578842,0.059072,0.168323,0.092213,0.454545,0.300526,0.917734,Anderson Uchôa,Ypiranga Erechim,Ypiranga Erechim,"DMF, LCMF, LDMF",DMF,7,33,0,,11,1080,Brazil,Brazil,right,178,68,no,RS,Testing,2024,Primeiro Volante Equilibrado,0.918,4,12,66,0.498436,0.415925,0.301727,0.375016,0.32675,0.387468,0.334037,0.39735,0.302928,0.375253,0.289596,9,8,3,3,3,4,10.0,8,10,5.0,4,25,33,75,75,75,66,16,33,16,58,66
11,1.0,1.0,0.652593,0.11576,0.215002,0.016078,0.274262,0.611886,0.346761,0.612121,0.043201,0.854374,Lucas Hulk,São Luiz,São Luiz,"DMF, LCMF",DMF,7,31,0,,10,711,Brazil,Brazil,,0,0,no,RS,Testing,2024,Primeiro Volante Equilibrado,0.854,5,12,58,0.498436,0.415925,0.301727,0.375016,0.32675,0.387468,0.334037,0.39735,0.302928,0.375253,0.289596,1,1,2,9,9,11,6.0,4,4,3.0,11,91,91,83,25,25,8,50,66,66,75,8
5,0.746649,0.718805,0.357506,0.080128,0.278764,0.262573,0.383966,0.96695,0.504974,0.557576,0.21209,0.79856,Caíque Gonçalves,Juventude,Juventude,"LDMF, LCMF, DMF",LDMF,7,28,200000,,11,879,Brazil,Brazil,right,178,71,no,RS,Testing,2024,Primeiro Volante Equilibrado,0.799,6,12,50,0.498436,0.415925,0.301727,0.375016,0.32675,0.387468,0.334037,0.39735,0.302928,0.375253,0.289596,3,3,4,11,7,8,5.0,2,3,4.0,6,75,75,66,8,41,33,58,83,75,66,50
2,0.540214,0.543839,0.016385,0.797578,0.236292,0.358515,1.0,0.75853,1.0,1.0,0.287925,0.680716,Luís Oyama,Juventude,Juventude,"DMF, LDMF, RCMF",DMF,7,27,800000,2025-12-31,11,544,Brazil,"Brazil, Japan",right,171,69,yes,RS,Testing,2024,Primeiro Volante Equilibrado,0.681,7,12,41,0.498436,0.415925,0.301727,0.375016,0.32675,0.387468,0.334037,0.39735,0.302928,0.375253,0.289596,5,5,11,2,8,6,1.0,3,1,1.0,5,58,58,8,83,33,50,91,75,91,91,58
