Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
13,Felipinho,Tombense,Tombense,"RW, AMF, RAMF",RW,10,21,0,,8,622,Brazil,Brazil,left,179,70,no,6.8,3.905538,5.064893999999999,2.317066,3.905564,0.16,0.12,MG,Testing,2024,0.6492365105750555,0.6977655467027436,0.6753211869769533
14,Rafinha,Tombense,Tombense,"LW, LAMF, LWF",LW,10,24,0,,8,749,Brazil,Brazil,,0,0,no,4.81,3.005838,3.968156999999999,2.399904,4.808961999999999,0.16,0.11,MG,Testing,2024,0.5944882393088506,0.5623582235279215,0.5787066068841624
15,Hudson,Patrocinense,Patrocinense,"RW, RB, RCMF",RW,10,23,0,,8,545,Brazil,Brazil,right,181,0,yes,4.95,3.13811,7.102995999999999,4.458692,0.8250660000000001,0.12,0.07,MG,Testing,2024,0.9170425021253807,0.9137960511560796,0.9211496625070716
16,Marcílio,Patrocinense,Patrocinense,"LW, RW, RAMF",LW,10,24,0,,9,577,Brazil,Brazil,left,170,70,no,4.21,2.33836,3.119844,2.653369,4.681290000000001,0.1,0.14,MG,Testing,2024,0.5194728153935682,0.4842211701969408,0.5008926339489229
17,Branquinho,Itabirito,Itabirito,"LW, LAMF, CF",LW,10,34,0,,10,546,Brazil,Brazil,right,170,65,no,4.45,2.96752,2.966815,2.305251,2.802036,0.35,0.0,MG,Testing,2024,0.4947043934201872,0.3878188249394963,0.4393279830116707
18,Erick Salles,Itabirito,Itabirito,"LW, LAMF, CF",LW,10,29,0,,8,788,Brazil,Brazil,right,172,70,no,3.31,2.5135,0.799428,1.596,4.6843,0.19,0.07,MG,Testing,2024,0.1437127535269702,0.0855838477439546,0.1074354846553443
19,Richard Cossoniche,Democrata GV,Democrata GV,"RAMF, RW, LAMF",RAMF,10,22,0,,10,848,Brazil,Brazil,right,169,62,no,3.82,2.230668,3.078504,3.182895,5.199038000000001,0.22,0.21,MG,Testing,2024,0.5678226736365957,0.5194885770307548,0.5433770371959284
20,Pedro Oliveira,Democrata GV,Democrata GV,"LAMF, LW",LAMF,10,25,0,,11,969,Brazil,Brazil,right,176,68,no,4.83,2.7875,2.8768,3.437768,4.364514000000001,0.32,0.31,MG,Testing,2024,0.6604677768770761,0.6553081146757637,0.6594557432160522
0,Éverton,Flamengo,Flamengo,LW,LW,10,28,11000000,2026-06-30,10,785,Brazil,Brazil,right,174,72,no,6.08,4.12581,4.238661,4.585885999999999,4.928175,0.22,0.39,RJ,Testing,2024,0.7684752787578828,0.8218492803221417,0.7951622795400122
1,J. Arias,Fluminense,Fluminense,"RW, LW, LAMF",RW,10,26,8000000,2026-08-15,8,755,Colombia,Colombia,right,168,70,no,5.25,2.744037,5.838415,3.574107,7.152,0.16,0.36,RJ,Testing,2024,0.8080523551059992,0.8256668637436213,0.8168596094248102
