Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
6,Rafael,São Paulo,São Paulo,GK,GK,0,34,400000,2025-12-31,11,1126,Brazil,Brazil,left,192,81,no,0.160008,67.5,-0.136,1.28,1.04,0.675,3.076923076923077,SP,Testing,2024,0.149728220964853,0.1499706135840001,0.15
7,Luiz Daniel,Santo André,Santo André,GK,GK,0,30,250000,,12,1198,Brazil,Brazil,right,186,84,no,0.38,62.22,-0.203,1.13,1.58,0.621301775147929,2.640625,SP,Testing,2024,0.08954306694968782,0.1308780724884182,0.11
8,Alex Muralha,Mirassol,Mirassol,GK,GK,0,34,250000,,11,1095,Brazil,Brazil,right,188,89,no,0.738,63.41,-0.149,1.23,0.82,0.6350148367952522,2.739837398373984,SP,Testing,2024,0.4253097775914224,0.363891296630265,0.395
9,João Carlos,Botafogo SP,Botafogo SP,GK,GK,0,35,200000,,8,800,Brazil,Brazil,right,191,92,no,0.226678,64.52,-0.047,1.13,1.58,0.6446991404011462,2.814516129032258,SP,Testing,2024,0.1493968626105064,0.1509996178123699,0.15
10,Vladimir,Guarani,Guarani,GK,GK,0,34,200000,2025-12-31,7,729,Brazil,Brazil,right,191,93,yes,0.12,65.22,-0.026,0.99,0.86,0.6514084507042253,2.868686868686869,SP,Testing,2024,0.09472579479238927,0.09443761874258444,0.095
11,Ygor Vinhas,Água Santa,Água Santa,GK,GK,0,29,200000,2024-11-30,11,1102,Brazil,Brazil,right,192,88,no,0.08,77.08,0.231,0.98,1.47,0.7704081632653061,4.355555555555555,SP,Testing,2024,0.4880923278886799,0.484915194428195,0.487
12,Alex Alves,São Bernardo FC,São Bernardo FC,GK,GK,0,37,200000,,12,1193,Brazil,Brazil,right,191,88,no,0.62125,84.44,0.44,2.13,0.89,0.845,6.451612903225807,SP,Testing,2024,0.8305633902759789,0.9089597432116907,0.87
13,Jefferson Paulino,Ituano,Ituano,GK,GK,0,32,200000,,12,1181,Brazil,Brazil,right,185,71,no,0.0,69.09,0.084,0.82,1.48,0.6916299559471366,3.242857142857143,SP,Testing,2024,0.1913980365872791,0.2059867373972055,0.199
14,Pedro Rocha,Ponte Preta,Ponte Preta,GK,GK,0,25,0,2024-07-26,13,1296,Brazil,Brazil,right,196,93,no,0.279986,78.08,0.455,1.81,1.39,0.7810650887573964,4.567567567567568,SP,Testing,2024,0.6324769011811959,0.6805789535795441,0.657
15,Thomazella,Portuguesa,Portuguesa,GK,GK,0,33,0,2024-04-30,13,1316,Brazil,Brazil,right,191,89,no,0.272,60.47,-0.458,0.96,0.96,0.6054421768707483,2.53448275862069,SP,Testing,2024,0.0,0.0,0.0
