Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
23,Felipe Albuquerque,Inter de Limeira,Inter de Limeira,RB,RB,1,24,250000,,9,667,Brazil,Brazil,right,174,73,no,10.29,6.663727,2.171472,1.015116,5.219942,5.075232000000001,SP,Testing,2024,0.6990997456477646,0.6446446505279898,0.6665610421579223
24,Willean Lepo,Grêmio Novorizontino,Grêmio Novorizontino,"RB, RCB, RWB",RB,1,27,250000,,12,967,Brazil,Brazil,right,180,78,no,10.98,6.144600000000001,1.302,2.418658,6.328412999999999,7.725607999999999,SP,Testing,2024,0.757887482756473,0.6819471495287823,0.7153838301088988
25,Léo Duarte,Ituano,Ituano,"RB, LB",RB,1,24,200000,,11,787,Brazil,Brazil,right,175,67,no,9.94,5.163972,1.1628,2.192388,7.615256,10.97516,SP,Testing,2024,0.8309497191012869,0.7334188686456091,0.7786586761949401
26,Hélder,Guarani,Guarani,LB,LB,1,35,100000,,9,707,Brazil,Brazil,left,177,81,no,8.02,4.201052000000001,1.271454,2.162676,5.477072999999999,7.254239999999999,SP,Testing,2024,0.4938395364693677,0.4404994403152461,0.4585449649142752
27,Gabriel Inocêncio,Água Santa,Água Santa,"LB, RB",LB,1,29,100000,2024-11-30,10,924,Brazil,Brazil,right,175,69,no,10.71,6.621909999999999,1.75269,1.461677,3.894756,9.544364999999999,SP,Testing,2024,0.7712038488862833,0.6925611753907095,0.7275426976598636
28,Vitor Ricardo,São Bernardo FC,São Bernardo FC,"RWB, RB",RWB,1,23,100000,2024-12-31,11,734,Brazil,Brazil,right,178,67,no,5.74,2.297548,0.573276,1.576552,4.019412,9.903960000000001,SP,Testing,2024,0.1259746600354192,0.09688353303413308,0.09704647307031111
29,Luiz Felipe,Ponte Preta,Ponte Preta,RB,RB,1,26,100000,2025-04-11,8,570,Brazil,Brazil,right,180,76,no,12.32,7.575648,0.9491700000000001,2.681676,5.997012,8.528144999999999,SP,Testing,2024,0.6869451138108923,0.6522973535382458,0.6642736430904271
30,Reverson,Grêmio Novorizontino,Grêmio Novorizontino,"LB, LCB, LWB",LB,1,27,100000,,12,683,Brazil,Brazil,left,175,71,no,8.43,3.689646,1.58195,2.636534999999999,4.480224,6.327999999999999,SP,Testing,2024,0.4989685853368778,0.4793838833591384,0.4809079173803681
31,Jean Victor,Botafogo SP,Botafogo SP,"LB, LWB",LB,1,29,50000,2024-12-05,11,973,Brazil,Brazil,left,181,72,no,8.6,3.145296,0.6475,1.573395,4.7175,6.382574,SP,Testing,2024,0.2440506429837703,0.2008559559626089,0.2098677405987064
32,JP Galvão,Inter de Limeira,Inter de Limeira,"RB, RWB",RB,1,22,0,,10,650,Brazil,Brazil,right,184,75,yes,8.02,4.007558,1.038363,2.227956,4.157421,8.759386,SP,Testing,2024,0.3676723246055155,0.3798064061550155,0.3636025593434863
33,Zé Mário,Inter de Limeira,Inter de Limeira,LB,LB,1,32,0,2024-04-10,9,821,Brazil,Brazil,left,175,78,no,9.48,5.049587,1.475331,3.9424,8.005608,9.852741,SP,Testing,2024,0.8442116588058624,0.8025974935103944,0.8205461599340993
34,Marlinho,Ituano,Ituano,"LWB, LB, LAMF",LWB,1,18,0,,10,679,Brazil,Brazil,unknown,0,0,no,7.94,2.549062,0.4259999999999999,1.13339,3.685854,5.103657000000001,SP,Testing,2024,0.06915170951626426,0.0,0.01894926614222409
35,Eduardo Diniz,Portuguesa,Portuguesa,"LB, LWB",LB,1,34,0,2024-12-31,11,968,Brazil,Brazil,both,179,68,no,5.39,2.418853,0.3720000000000001,2.791665000000001,4.836517,5.952891999999999,SP,Testing,2024,0.0,0.03185684099018971,0.0
36,Igor Fernandes,Santo André,Santo André,LB,LB,1,31,0,,11,1034,Brazil,Brazil,left,183,78,no,7.14,3.04375,1.218475,2.175,5.131976,7.39883,SP,Testing,2024,0.3950496186409275,0.3587920768000151,0.3668355379260061
