Unnamed: 0,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Aéreos_Ganhos_LM,Defesas_LM,Gols_Evitados_LM,Saídas_LM,Interceptações.1_LM,xG_Evitado_LM,Finalizações_por_Gol_Sofrido_LM,Duelos_Aéreos_Ganhos_Rank,Defesas_Rank,Gols_Evitados_Rank,Saídas_Rank,Interceptações.1_Rank,xG_Evitado_Rank,Finalizações_por_Gol_Sofrido_Rank,Duelos_Aéreos_Ganhos_Percentil,Defesas_Percentil,Gols_Evitados_Percentil,Saídas_Percentil,Interceptações.1_Percentil,xG_Evitado_Percentil,Finalizações_por_Gol_Sofrido_Percentil
10,0.326286,0.343608,0.656291,0.245033,0.647059,0.350804,0.180591,0.316,Lucas Wingert,Juventude,Juventude,GK,GK,0,24,0,,9,816,Brazil,Brazil,left,200,96,no,RS,Testing,2024,Goleiro,0.316,10,13,23,0.52853,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,10,10.0,4,8.0,7.0,10,10,23,23,69,38,46,23,23
4,0.0,0.521306,0.597925,0.0,0.147059,0.532944,0.317589,0.206,Raul Steffens,Botafogo,São Luiz,GK,GK,0,26,100000,,11,1073,Brazil,Brazil,right,190,78,no,RS,Testing,2024,Goleiro,0.206,11,13,15,0.52853,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,13,7.0,6,13.0,11.0,7,7,0,46,53,0,15,46,46
6,0.257766,0.003173,0.588846,0.172185,0.196078,0.003862,0.001579,0.056,Lucas Maticoli,Novo Hamburgo,Novo Hamburgo,GK,GK,0,27,0,,11,1075,Brazil,Brazil,,0,0,no,RS,Testing,2024,Goleiro,0.056,12,13,7,0.52853,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,11,12.0,7,11.0,10.0,12,12,15,7,46,15,23,7,7
5,0.195771,0.175884,0.0,0.046358,0.019608,0.178489,0.081401,0.0,Marcelo Pitol,Santa Cruz RS,Santa Cruz RS,GK,GK,0,41,0,,8,788,Brazil,Brazil,right,192,87,no,RS,Testing,2024,Goleiro,0.0,13,13,0,0.52853,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,12,11.0,13,12.0,12.0,11,11,7,15,0,7,7,15,15
5,1.0,0.714936,0.478642,1.0,0.895028,0.711816,0.476352,1.0,Jordi,Grêmio Novorizontino,Grêmio Novorizontino,GK,GK,0,30,800000,2024-12-31,13,1290,Brazil,Brazil,right,192,92,no,SP,Testing,2024,Goleiro,1.0,1,16,93,0.353449,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,1,7.5,9,1.0,2.0,8,8,93,53,43,93,87,50,50
12,0.591667,1.0,0.983571,0.564655,0.038674,1.0,1.0,0.87,Alex Alves,São Bernardo FC,São Bernardo FC,GK,GK,0,37,200000,,12,1193,Brazil,Brazil,right,191,88,no,SP,Testing,2024,Goleiro,0.87,2,16,87,0.353449,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,4,1.0,2,2.0,14.0,1,1,75,93,87,87,12,93,93
1,0.780952,0.714936,0.634173,0.461207,1.0,0.715908,0.481351,0.815,Cleiton,Red Bull Bragantino,Red Bull Bragantino,GK,GK,0,26,4500000,2024-12-31,11,1095,Brazil,Brazil,right,190,82,no,SP,Testing,2024,Goleiro,0.815,3,16,81,0.353449,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,2,7.5,5,3.0,1.0,7,7,87,53,68,81,93,56,56
4,0.428571,0.725171,0.950712,0.344828,0.342541,0.723483,0.490732,0.709,Max Walef,Inter de Limeira,Inter de Limeira,GK,GK,0,30,1000000,2024-06-30,11,1092,Brazil,Brazil,right,185,84,no,SP,Testing,2024,Goleiro,0.709,4,16,75,0.353449,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,5,5.0,3,5.0,8.0,5,5,68,68,81,68,50,68,68
0,0.4,0.762699,0.62322,0.293103,0.176796,0.759858,0.53818,0.666,João Paulo,Santos,Santos,GK,GK,0,28,7000000,2027-12-31,15,1505,Brazil,Brazil,right,189,86,no,SP,Testing,2024,Goleiro,0.666,5,16,68,0.353449,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,6,3.0,6,6.0,11.0,3,3,62,81,62,62,31,81,81
14,0.266653,0.758908,1.0,0.426724,0.314917,0.75952,0.537719,0.657,Pedro Rocha,Ponte Preta,Ponte Preta,GK,GK,0,25,0,2024-07-26,13,1296,Brazil,Brazil,right,196,93,no,SP,Testing,2024,Goleiro,0.657,6,16,62,0.353449,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,8,4.0,1,4.0,9.0,4,4,50,75,93,75,43,75,75
