Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
6,Gedeílson,Ypiranga Erechim,Ypiranga Erechim,"RB, LB",RB,1,31,100000,,11,994,Brazil,Brazil,right,177,65,no,7.42,1.993068,4.70586,2.81,3.07629,1.0,1.717028,1.36,0.45,0.07,0.72,2.80391,0.54,0.91,1.268,RS,Testing,2024,0.3899711012786249,0.4598564646770721,0.4249137829778485
7,Celsinho,Avenida,Avenida,RB,RB,1,35,100000,,6,529,Brazil,Brazil,right,183,73,no,12.42,2.549932,6.977103,1.87,2.38,0.51,0.68,1.53,0.51,0.14,1.02,4.249829999999999,0.51,1.02,1.529966,RS,Testing,2024,0.6508120187190606,0.6407251702789392,0.6457685944989999
8,Danilo Guimarães,Brasil de Pelotas,Brasil de Pelotas,RB,RB,1,26,0,,11,532,Brazil,Brazil,,0,0,no,11.33,2.368,5.581695,1.86,1.35255,0.17,0.34,0.85,0.17,0.03,0.51,2.875344,0.34,1.35,1.693418,RS,Testing,2024,0.4816689612176966,0.459761190047182,0.4707150756324393
9,Rodrigo Negueba,Avenida,Avenida,"RB, RAMF, RW",RB,1,24,0,,8,656,Brazil,Brazil,,0,0,no,8.09,1.644,4.799808,3.02,2.742198,0.27,1.647555,1.51,1.92,0.0,0.14,2.194272,0.27,1.23,1.371264,RS,Testing,2024,0.2742280594991527,0.3376320445389397,0.3059300520190462
10,Cesar Nunes,Avenida,Avenida,"LB, LDMF",LB,1,24,0,2024-06-30,10,944,Brazil,Brazil,left,184,70,no,7.15,0.86,5.33628,1.62,2.476948,0.29,0.86,1.05,0.29,0.03,0.48,3.05226,0.1,0.57,0.7623720000000002,RS,Testing,2024,0.2400769155199368,0.2292990921679771,0.2346880038439569
11,Chicão,Avenida,Avenida,"RB, RDMF, RCMF",RB,1,38,0,,11,598,Brazil,Brazil,right,183,75,no,5.57,1.655654,3.914324,0.45,0.453,0.45,0.0,0.15,0.15,0.01,0.3,3.616,0.0,0.3,0.300015,RS,Testing,2024,0.0,0.0,0.0
12,Alessandro Vinícius,EC São José,EC São José,"RB, RWB, LB",RB,1,25,0,,11,1015,Brazil,Brazil,right,174,70,no,7.98,1.77284,4.257822000000001,3.28,3.456274,0.98,1.858976,1.6,0.44,0.21,0.89,1.770482,0.27,1.33,1.152877,RS,Testing,2024,0.3736261247902159,0.4361275764596632,0.4048768506249395
13,Alan Cardoso,Avenida,Avenida,"LB, LAMF",LB,1,26,0,,9,602,Brazil,Brazil,left,177,66,no,8.67,0.896577,3.885436,2.39,3.8896,0.9,1.044107,1.2,0.3,0.02,0.6,2.693751,0.15,0.6,0.9,RS,Testing,2024,0.27344262303614,0.2876464377148626,0.2805445303755013
14,David Luís,Santa Cruz RS,Santa Cruz RS,LB,LB,1,28,0,,7,534,Brazil,Brazil,left,180,76,no,9.44,2.356532,5.728595,0.67,1.348504,0.34,0.168,0.84,0.51,0.03,0.67,3.0312,0.34,0.51,0.505748,RS,Testing,2024,0.322521333246615,0.3014152856520937,0.3119683094493544
15,Rai,Novo Hamburgo,Novo Hamburgo,LB,LB,1,23,0,,11,1043,Brazil,Brazil,,0,0,no,5.57,1.41678,6.895651,3.12,2.929689,0.47,1.982496,1.32,1.04,0.08,0.66,3.87243,0.57,0.94,1.227026,RS,Testing,2024,0.5943120164318845,0.5598127076434889,0.5770623620376867
