Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Helinho,Red Bull Bragantino,Red Bull Bragantino,"RWF, RW, RAMF",RWF,11,23,6000000,2026-12-31,12,888,Brazil,Brazil,left,175,66,no,6.282673999999999,2.43,3.747774,0.41,2.13,0.13,0.608,0.0,0.27,2.74,1.01,1.11,0.91,SP,Testing,2024,0.8553636641846948,0.9063790317363142,0.8808713479605044
1,Vitinho,Red Bull Bragantino,Red Bull Bragantino,"LWF, LW",LWF,11,24,5000000,2026-06-30,10,676,Brazil,Brazil,right,181,75,no,6.121962,3.86,3.327168,0.27,2.53,0.14,0.531402,7.143,0.1,1.07,1.07,0.27,0.13,SP,Testing,2024,0.6489187094468947,0.6868832098496004,0.6679009596482475
2,Ferreira,São Paulo,São Paulo,"LAMF, LW, LWF",LAMF,10,26,5000000,2024-12-31,13,683,Brazil,Brazil,right,175,65,no,7.1145,3.29,5.271510000000001,0.92,2.64,0.33,0.658386,16.667,0.1,0.66,0.92,1.05,0.26,SP,Testing,2024,0.8831360646723739,0.9082274955943651,0.8956817801333694
3,Á. Romero,Corinthians,Corinthians,"RWF, CF, LAMF",RWF,11,31,2000000,2024-12-31,11,875,Paraguay,Paraguay,right,175,73,no,3.187891,2.67,1.85,0.82,1.65,0.24,0.719465,16.667,0.09,0.51,0.62,1.23,0.41,SP,Testing,2024,0.6921685098835166,0.6708312522826211,0.6814998810830688
4,Pedrinho,Santos,Santos,"RAMF, LAMF, RWF",RAMF,10,24,2000000,2026-06-30,13,696,Brazil,"Brazil, Italy",right,176,64,yes,5.947298,2.46,4.397169,2.07,1.55,0.11,0.386628,0.0,0.21,1.16,0.65,0.91,0.91,SP,Testing,2024,0.6706697755393274,0.7465226907151977,0.7085962331272625
5,R. Otero,Santos,Santos,"RAMF, RW, AMF",RAMF,10,31,1200000,,13,836,Venezuela,Venezuela,right,165,66,no,5.49248,1.18,2.47674,0.32,0.54,0.24,1.078304,13.043,0.29,1.72,0.32,0.43,0.43,SP,Testing,2024,0.4487877023289986,0.547405083519909,0.4980963929244537
6,Guilherme,Santos,Santos,"LAMF, LW",LAMF,10,28,800000,2024-12-31,14,1257,Brazil,Brazil,left,178,68,no,5.79953,3.22,4.153541000000001,0.64,2.22,0.28,0.931595,10.0,0.13,1.29,0.86,0.79,0.5,SP,Testing,2024,1.0,1.0,1.0
7,Douglas Baggio,Botafogo SP,Botafogo SP,"RW, LWF, AMF",RW,10,29,500000,,11,820,Brazil,Brazil,right,172,71,no,7.024257,1.87,2.96325,1.76,0.44,0.08,0.77,6.25,0.07,1.1,0.44,0.22,0.22,SP,Testing,2024,0.1476235370495736,0.2146411517210443,0.1811323443853089
8,Felipe Ferreira,Santo André,Santo André,"RW, AMF, CF",RW,10,29,400000,,10,620,Brazil,Brazil,right,186,74,no,2.90184,1.74,1.597764,0.29,1.74,0.11,1.159884,0.0,0.15,1.31,0.44,1.02,0.44,SP,Testing,2024,0.3989324298370107,0.4609735085028107,0.4299529691699107
9,Emerson Negueba,Botafogo SP,Botafogo SP,"RWF, RW, RB",RWF,11,23,400000,2026-12-31,12,704,Brazil,Brazil,right,175,75,yes,6.137193999999999,2.3,3.067878,1.15,1.41,0.06,0.256338,0.0,0.07,0.89,0.51,0.51,0.51,SP,Testing,2024,0.3776962650024787,0.2894299981977569,0.3335631316001177
10,Fernandinho,Mirassol,Mirassol,"LW, LAMF",LW,10,26,400000,,11,735,Brazil,Brazil,right,175,70,no,6.857308999999999,2.94,4.284495,1.1,1.22,0.11,0.243309,0.0,0.1,0.61,0.49,0.61,0.37,SP,Testing,2024,0.5423730591916531,0.4601826728544968,0.5012778660230749
11,Waguininho,Grêmio Novorizontino,Grêmio Novorizontino,"RW, LW, RWF",RW,10,34,400000,,14,984,Brazil,Brazil,right,177,75,no,2.013092,1.92,0.732714,0.55,2.2,0.2,0.641685,5.556,0.14,1.01,0.55,0.55,0.55,SP,Testing,2024,0.4290229246634365,0.495306096651288,0.4621645106573622
12,Pablo Diogo,Ituano,Ituano,"RAMF, LW, RW",RAMF,10,31,350000,,10,716,Brazil,Brazil,right,175,67,no,1.58,1.58,0.71875,0.14,2.44,0.07,0.144,20.0,0.11,0.58,0.86,0.72,0.58,SP,Testing,2024,0.319148810335576,0.2902759358369283,0.3047123730862522
