Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
14,Carlinhos,Nova Iguaçu,Nova Iguaçu,CF,CF,12,27,0,,13,1312,Brazil,Brazil,right,191,82,no,3.365064,1.345804,0.22,0.47,20.513,1.170212765957447,0.160958904109589,0.04,0.82,RJ,Testing,2024,0.7660278543110923,0.7794705600039331,0.7727492071575127
15,Janderson,Botafogo,Botafogo,CF,CF,12,24,0,,11,601,Brazil,Brazil,right,189,77,no,5.242372,1.8,0.6,0.26,7.143,0.5769230769230769,0.1238095238095238,0.04,0.6,RJ,Testing,2024,0.4119438312631317,0.4558254507383207,0.4338846410007262
16,Cristian Renato,Boavista,Boavista,CF,CF,12,24,0,,11,547,Brazil,Brazil,right,189,83,no,2.79855,0.825,0.33,0.28,28.571,1.178571428571429,0.2434782608695653,0.08,0.99,RJ,Testing,2024,1.0,1.0,1.0
0,João Pedro,Grêmio,Grêmio,CF,CF,12,32,6500000,2025-06-30,13,762,Brazil,"Brazil, Italy",right,184,73,yes,3.049756,1.1916,0.13,0.39,14.286,0.8974358974358974,0.2096774193548387,0.04,0.53,RS,Testing,2024,0.5480384687399181,0.5866452624338506,0.5727485462992727
1,Alan Patrick,Internacional,Internacional,"CF, AMF, LCMF",CF,12,32,5000000,2026-12-31,11,891,Brazil,Brazil,right,177,70,no,3.481059,2.025135,0.0,0.32,15.0,0.9375,0.1422222222222222,0.31,2.36,RS,Testing,2024,0.8999733852890901,1.0,0.9590399197016275
2,L. Alario,Internacional,Internacional,CF,CF,12,31,4000000,2025-06-30,11,545,Argentina,"Argentina, Italy",right,185,78,no,1.1665,0.0,0.0,0.46,10.0,0.717391304347826,0.1381381381381381,0.04,0.33,RS,Testing,2024,0.2698907844242862,0.3218666800510021,0.2986984110447781
3,E. Valencia,Internacional,Internacional,CF,CF,12,34,3800000,,11,813,Ecuador,Ecuador,right,177,74,no,4.233000000000001,2.488086,0.37,0.59,15.385,0.7457627118644068,0.1820987654320987,0.17,1.24,RS,Testing,2024,1.0,0.9811202289475102,1.0
4,Gilberto,Juventude,Juventude,CF,CF,12,34,1000000,2024-06-30,10,875,Brazil,Brazil,right,178,70,no,2.36447,1.026285,0.41,0.3,19.048,1.366666666666667,0.1388888888888889,0.03,0.31,RS,Testing,2024,0.548463972796234,0.61256833520335,0.5860483836543297
5,Erick Farias,Juventude,Juventude,"CF, LW, LAMF",CF,12,27,600000,,12,958,Brazil,Brazil,right,172,70,no,2.161617,1.030442,0.47,0.19,16.667,1.473684210526316,0.1124260355029586,0.11,0.94,RS,Testing,2024,0.6933453850430947,0.7319485994104413,0.719438408445679
6,Zé Vitor,Ypiranga Erechim,Ypiranga Erechim,CF,CF,12,25,300000,2024-12-31,11,901,Brazil,Brazil,right,182,78,no,2.897297,0.60004,0.1,0.24,23.529,1.666666666666667,0.1411764705882353,0.03,0.8,RS,Testing,2024,0.6955665015182596,0.7186163150941037,0.713829880664871
7,Netto,Santa Cruz RS,Santa Cruz RS,"CF, RAMF, RW",CF,12,26,300000,,10,642,Brazil,Brazil,right,174,71,no,2.243117,0.6999160000000001,0.14,0.04,0.0,0.0,0.07142857142857142,0.01,0.42,RS,Testing,2024,0.015673749929244,0.01871444123542083,0.01735795266849297
8,Álvaro,Caxias,Caxias,CF,CF,12,26,200000,,8,583,Brazil,Brazil,right,185,75,no,2.623244999999999,1.235,0.15,0.71,12.0,0.647887323943662,0.1839378238341969,0.0,0.15,RS,Testing,2024,0.3582526075738569,0.4288083404921478,0.3972807589189772
