Unnamed: 0,Duelos_Aéreos_Ganhos,Passes_Curtos_Médios_Certos,Passes_Longos_Certos,Passes_Progressivos_Certos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Aéreos_Ganhos_LM,Passes_Curtos_Médios_Certos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Defesas_LM,Gols_Evitados_LM,Saídas_LM,Interceptações.1_LM,xG_Evitado_LM,Finalizações_por_Gol_Sofrido_LM,Duelos_Aéreos_Ganhos_Rank,Passes_Curtos_Médios_Certos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Defesas_Rank,Gols_Evitados_Rank,Saídas_Rank,Interceptações.1_Rank,xG_Evitado_Rank,Finalizações_por_Gol_Sofrido_Rank,Duelos_Aéreos_Ganhos_Percentil,Passes_Curtos_Médios_Certos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Defesas_Percentil,Gols_Evitados_Percentil,Saídas_Percentil,Interceptações.1_Percentil,xG_Evitado_Percentil,Finalizações_por_Gol_Sofrido_Percentil
10,0.326286,1.0,0.0,0.0,0.343608,0.656291,0.245033,0.647059,0.350804,0.180591,0.304008,Lucas Wingert,Juventude,Juventude,GK,GK,0,24,0,,9,816,Brazil,Brazil,left,200,96,no,RS,Testing,2024,Goleiro Líbero,0.304,9,13,30,0.52853,0.434288,0.583548,0.613105,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,10,1,13,13,10.0,4,8.0,7.0,10,10,23,92,0,0,23,69,38,46,23,23
4,0.0,0.463796,1.0,0.916535,0.521306,0.597925,0.0,0.147059,0.532944,0.317589,0.300086,Raul Steffens,Botafogo,São Luiz,GK,GK,0,26,100000,,11,1073,Brazil,Brazil,right,190,78,no,RS,Testing,2024,Goleiro Líbero,0.3,10,13,23,0.52853,0.434288,0.583548,0.613105,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,13,6,1,2,7.0,6,13.0,11.0,7,7,0,53,92,84,46,53,0,15,46,46
12,1.0,0.273273,0.799017,0.86813,0.0,0.431907,0.92053,0.54902,0.0,0.0,0.295977,Fabian Volpi,Caxias,Caxias,GK,GK,0,26,0,,13,1261,Brazil,Brazil,right,186,80,no,RS,Testing,2024,Goleiro Líbero,0.296,11,13,15,0.52853,0.434288,0.583548,0.613105,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,1,9,3,3,13.0,10,4.0,9.0,13,13,92,30,76,76,0,23,69,30,0,0
5,0.195771,0.244627,0.734068,0.584026,0.175884,0.0,0.046358,0.019608,0.178489,0.081401,0.002864,Marcelo Pitol,Santa Cruz RS,Santa Cruz RS,GK,GK,0,41,0,,8,788,Brazil,Brazil,right,192,87,no,RS,Testing,2024,Goleiro Líbero,0.003,12,13,7,0.52853,0.434288,0.583548,0.613105,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,12,10,6,7,11.0,13,12.0,12.0,11,11,7,23,53,46,15,0,7,7,15,15
6,0.257766,0.030455,0.207369,0.331665,0.003173,0.588846,0.172185,0.196078,0.003862,0.001579,0.0,Lucas Maticoli,Novo Hamburgo,Novo Hamburgo,GK,GK,0,27,0,,11,1075,Brazil,Brazil,,0,0,no,RS,Testing,2024,Goleiro Líbero,0.0,13,13,0,0.52853,0.434288,0.583548,0.613105,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,11,12,12,12,12.0,7,11.0,10.0,12,12,15,7,7,7,7,46,15,23,7,7
5,1.0,0.185642,0.644811,0.617584,0.714936,0.478642,1.0,0.895028,0.711816,0.476352,1.0,Jordi,Grêmio Novorizontino,Grêmio Novorizontino,GK,GK,0,30,800000,2024-12-31,13,1290,Brazil,Brazil,right,192,92,no,SP,Testing,2024,Goleiro Líbero,1.0,1,16,93,0.353449,0.390144,0.478153,0.455689,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,1,11,5,5,7.5,9,1.0,2.0,8,8,93,31,68,68,53,43,93,87,50,50
12,0.591667,0.523885,0.479351,0.449315,1.0,0.983571,0.564655,0.038674,1.0,1.0,0.972855,Alex Alves,São Bernardo FC,São Bernardo FC,GK,GK,0,37,200000,,12,1193,Brazil,Brazil,right,191,88,no,SP,Testing,2024,Goleiro Líbero,0.973,2,16,87,0.353449,0.390144,0.478153,0.455689,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,4,7,8,9,1.0,2,2.0,14.0,1,1,75,56,50,43,93,87,87,12,93,93
1,0.780952,0.528504,1.0,1.0,0.714936,0.634173,0.461207,1.0,0.715908,0.481351,0.875524,Cleiton,Red Bull Bragantino,Red Bull Bragantino,GK,GK,0,26,4500000,2024-12-31,11,1095,Brazil,Brazil,right,190,82,no,SP,Testing,2024,Goleiro Líbero,0.876,3,16,81,0.353449,0.390144,0.478153,0.455689,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,2,6,1,1,7.5,5,3.0,1.0,7,7,87,62,93,93,53,68,81,93,56,56
14,0.266653,0.17805,0.681327,0.641637,0.758908,1.0,0.426724,0.314917,0.75952,0.537719,0.805469,Pedro Rocha,Ponte Preta,Ponte Preta,GK,GK,0,25,0,2024-07-26,13,1296,Brazil,Brazil,right,196,93,no,SP,Testing,2024,Goleiro Líbero,0.805,4,16,75,0.353449,0.390144,0.478153,0.455689,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,8,12,4,4,4.0,1,4.0,9.0,4,4,50,25,75,75,75,93,75,43,75,75
4,0.428571,1.0,0.69403,0.643619,0.725171,0.950712,0.344828,0.342541,0.723483,0.490732,0.798775,Max Walef,Inter de Limeira,Inter de Limeira,GK,GK,0,30,1000000,2024-06-30,11,1092,Brazil,Brazil,right,185,84,no,SP,Testing,2024,Goleiro Líbero,0.799,5,16,68,0.353449,0.390144,0.478153,0.455689,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,5,1,2,3,5.0,3,5.0,8.0,5,5,68,93,87,81,68,81,68,50,68,68
0,0.4,0.2381,0.548868,0.478465,0.762699,0.62322,0.293103,0.176796,0.759858,0.53818,0.755983,João Paulo,Santos,Santos,GK,GK,0,28,7000000,2027-12-31,15,1505,Brazil,Brazil,right,189,86,no,SP,Testing,2024,Goleiro Líbero,0.756,6,16,62,0.353449,0.390144,0.478153,0.455689,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,6,10,7,6,3.0,6,6.0,11.0,3,3,62,37,56,62,81,62,62,31,81,81
2,0.13334,0.520985,0.688564,0.766932,0.772176,0.538883,0.159483,0.243094,0.771739,0.5546,0.662492,Weverton,Palmeiras,Palmeiras,GK,GK,0,36,3000000,2026-12-31,13,1286,Brazil,Brazil,right,189,85,no,SP,Testing,2024,Goleiro Líbero,0.662,7,16,56,0.353449,0.390144,0.478153,0.455689,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,13,8,3,2,2.0,8,9.0,10.0,2,2,18,50,81,87,87,50,43,37,87,87
11,0.07619,0.671369,0.567237,0.31021,0.721001,0.754655,0.068966,0.359116,0.719435,0.485699,0.644231,Ygor Vinhas,Água Santa,Água Santa,GK,GK,0,29,200000,2024-11-30,11,1102,Brazil,Brazil,right,192,88,no,SP,Testing,2024,Goleiro Líbero,0.644,8,16,50,0.353449,0.390144,0.478153,0.455689,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,15,2,6,12,6.0,4,14.0,7.0,6,6,6,87,62,25,62,75,12,56,62,62
