Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Laterais_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
27,Micael,Guarany de Bagé,Guarany de Bagé,RCB,RCB,4,37,0,,11,1053,Brazil,Brazil,right,190,80,no,9.66,3.675189,2.136768,0.77,6.68,11.027763,RS,Testing,2024,0.6132107967959772,0.6092025483347678,0.6112066725653724
28,Robert Renan,Internacional,Internacional,"LCB, LB",LCB,4,20,0,,12,906,Brazil,Brazil,left,186,78,yes,5.74,2.97689,0.7732260000000001,0.11,5.37,34.518616,RS,Testing,2024,0.6227840808744591,0.6393094791347825,0.6310467800046208
29,Cézar,Caxias,Caxias,LCB,LCB,4,24,0,,14,1312,Brazil,Brazil,,188,79,no,8.99,4.489869000000001,4.26964,0.66,6.85,13.9932,RS,Testing,2024,0.7192266433908527,0.7152644444316708,0.7172455439112617
30,Ricardo Thalheimer,São Luiz,São Luiz,RCB,RCB,4,31,0,,12,1169,Brazil,Brazil,right,184,84,no,7.78,3.389375,2.000808,0.46,5.49,14.934738,RS,Testing,2024,0.4320777857056952,0.4298521467990556,0.4309649662523753
0,Murilo,Palmeiras,Palmeiras,"LCB, CB",LCB,4,27,8500000,2027-12-31,13,1201,Brazil,Brazil,right,188,78,no,8.24,3.74976,2.1,0.15,7.7,23.60085,SP,Testing,2024,0.7834978228789486,0.7593772426244261,0.7714375327516872
1,Léo Ortiz,Red Bull Bragantino,Red Bull Bragantino,"LCB, RCB, CB",LCB,4,28,6000000,2026-12-31,8,662,Brazil,Brazil,right,185,82,no,7.75,2.313051,2.852337,0.82,9.42,27.459696,SP,Testing,2024,0.8172284823410512,0.815971897685073,0.8166001900130619
2,F. Torres,Corinthians,Corinthians,RCB,RCB,4,27,6000000,2025-06-30,11,1118,Ecuador,Ecuador,right,187,78,no,8.37,4.022556999999999,3.30084,0.08,7.19,25.602852,SP,Testing,2024,0.7845805482890948,0.8144448645863839,0.7995127064377392
3,Luan Cândido,Red Bull Bragantino,Red Bull Bragantino,LCB,LCB,4,23,6000000,2026-12-31,9,753,Brazil,Brazil,left,184,76,no,10.76,4.185798000000001,2.98706,0.6,11.12,19.72464,SP,Testing,2024,0.9908842742056263,0.9832416424470195,0.9870629583263228
4,Diego Costa,São Paulo,São Paulo,"LCB, RCB",LCB,4,24,4000000,2028-12-31,10,845,Brazil,Brazil,right,184,73,no,8.2,3.620181,2.235,0.53,6.82,31.311581,SP,Testing,2024,0.7959701242506532,0.8318529967595726,0.8139115605051128
5,A. Franco,São Paulo,São Paulo,LCB,LCB,4,27,3000000,2025-12-31,6,527,Argentina,Argentina,right,183,77,no,4.61,2.04711,2.7328,0.34,4.84,31.766748,SP,Testing,2024,0.4634888721667895,0.4489771825426022,0.4562330273546958
