Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,xG,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
7,Zé Gabriel,Vasco da Gama,Vasco da Gama,"LCMF, RCMF, DMF",LCMF,8,25,1500000,2025-12-31,10,737,Brazil,Brazil,right,184,77,no,6.35,1.83326,5.37337,0.61,1.224951,1.22,0.11,0.0,0.49,8.78994,0.0,0.0,0.12,RJ,Testing,2024,0.7646313697388587,0.5729072879974247,0.6687693288681417
8,Adsson,Bangu,Bangu,"LCMF, RCMF",LCMF,8,23,50000,,11,1145,Brazil,Brazil,right,0,0,no,5.5,1.414325,4.556304,0.55,1.49292,1.81,0.09,0.01,0.31,4.402269,0.39,0.0,0.6285400000000001,RJ,Testing,2024,0.2209459331148165,0.2435303351561134,0.2322381341354649
9,Crystopher,Boavista,Boavista,"RCMF, LCMF",RCMF,8,25,50000,,15,1308,Brazil,Brazil,right,174,69,no,3.51,1.856904,5.916509,2.06,0.96441,1.65,0.16,0.23,2.34,4.882164,1.93,0.41,2.477592,RJ,Testing,2024,0.7608977589616317,0.7162650358743096,0.7385813974179706
10,Erick Flores,Boavista,Boavista,"LCMF, RCMF",LCMF,8,34,25000,,10,555,Brazil,Brazil,right,169,60,no,10.38,0.325,1.785,1.3,1.298494,0.49,0.1,0.23,1.14,2.758538999999999,0.49,0.16,0.162906,RJ,Testing,2024,0.1899273969329244,0.1382767379041181,0.1641020674185212
11,Henrique Silva,Volta Redonda,Volta Redonda,"RCMF, LCMF, RDMF",RCMF,8,29,0,2024-04-30,9,507,Brazil,Brazil,right,175,70,no,9.05,1.596369,4.260213,0.71,0.534,0.36,0.03,0.05,0.89,4.617094000000001,0.71,0.18,0.71104,RJ,Testing,2024,0.5032341475922995,0.4746604363993473,0.4889472919958233
12,Diego Miticov,Audax Rio,Audax Rio,"RCMF, LCMF, RB",RCMF,8,21,0,,10,794,Brazil,Brazil,right,175,73,no,7.37,1.245,3.173492,0.34,0.565,0.57,0.01,0.02,0.57,4.08278,0.23,0.11,0.452,RJ,Testing,2024,0.1551085289566025,0.1349549686676441,0.1450317488121233
13,Romarinho,Audax Rio,Audax Rio,"RCMF, LCMF, LDMF",RCMF,8,21,0,,10,881,Brazil,Brazil,,0,0,no,5.93,0.816585,4.290999999999999,0.82,1.33085,2.35,0.04,0.1,0.92,3.878970000000001,1.02,0.2,1.120625,RJ,Testing,2024,0.3710116976588564,0.3292244906475459,0.3501180941532012
14,Arthur,Madureira,Madureira,LCMF,LCMF,8,32,0,,10,981,Brazil,Brazil,right,174,0,no,5.32,2.47596,5.69031,0.18,1.281,1.19,0.03,0.04,1.01,7.158942,0.64,0.09,0.731392,RJ,Testing,2024,0.6887665249119259,0.6603329798279812,0.6745497523699535
15,Pablo Pardal,Madureira,Madureira,"RCMF, AMF",RCMF,8,24,0,,10,900,Brazil,Brazil,right,170,65,no,5.2,0.99994,3.79995,1.1,0.49998,2.0,0.05,0.2,2.3,4.2,0.8,0.5,1.40008,RJ,Testing,2024,0.2919570549949791,0.2826210242179488,0.287289039606464
16,Carlos Coppetti,Portuguesa RJ,Portuguesa RJ,"RCMF, LCMF, LDMF",RCMF,8,29,0,,9,501,Brazil,Brazil,right,183,80,no,10.67,1.682289,4.676508,0.75,0.3759999999999999,0.94,0.02,0.02,0.56,3.742932000000001,0.56,0.0,0.564,RJ,Testing,2024,0.5229834254242365,0.4469555572470647,0.4849694913356505
17,Mateus Carvalho,Vasco da Gama,Vasco da Gama,"LCMF, LW",LCMF,8,21,0,2024-04-30,9,562,Brazil,Brazil,left,174,74,no,8.01,1.280032,5.288556,0.64,1.76,0.64,0.01,0.0,0.32,6.248286,0.48,0.16,0.6400159999999999,RJ,Testing,2024,0.5934399209798313,0.5814407180268875,0.5874403195033593
18,Robinho,Volta Redonda,Volta Redonda,LCMF,LCMF,8,21,0,,10,757,Brazil,Brazil,unknown,0,0,no,7.61,1.427416,4.39619,0.59,1.067214,0.95,0.1,0.02,0.71,4.278092,0.71,0.24,0.833,RJ,Testing,2024,0.4229638078031288,0.4033534778524095,0.4131586428277691
19,Renatinho,Bangu,Bangu,"RCMF, LCMF",RCMF,8,21,0,,8,760,Brazil,Brazil,,0,0,no,6.75,1.895432,1.895568,0.0,1.301643,0.95,0.0,0.05,0.47,2.841314,0.36,0.24,0.47,RJ,Testing,2024,0.0,0.0,0.0
20,Gabriel Agú,Sampaio Corrêa RJ,Sampaio Corrêa RJ,"LCMF, RW",LCMF,8,23,0,,11,787,Brazil,Brazil,,0,0,no,4.8,1.832796,4.460625,0.69,1.716804,2.17,0.05,0.07,0.8,4.11782,0.34,0.11,1.031527,RJ,Testing,2024,0.2949713579392692,0.3341149031580813,0.3145431305486752
21,Marcelo,Sampaio Corrêa RJ,Sampaio Corrêa RJ,RCMF,RCMF,8,35,0,,12,1254,Brazil,Brazil,right,175,73,no,7.25,1.005,3.875207999999999,1.44,0.935,1.15,0.32,0.14,1.58,3.730808,0.43,0.07,0.7903560000000001,RJ,Testing,2024,0.388493837045203,0.3372787887164304,0.3628863128808167
22,João Paulo,Portuguesa RJ,Portuguesa RJ,"RCMF, RDMF, LCMF",RCMF,8,30,0,2024-04-10,10,879,Brazil,Brazil,right,176,74,no,5.9,3.450341,7.3425,0.22,1.891161,2.0,0.01,0.12,0.78,8.898513,1.11,0.44,1.666027,RJ,Testing,2024,1.0,1.0,1.0
23,Wellington Cézar,Portuguesa RJ,Portuguesa RJ,"LCMF, RCB, LDMF",LCMF,8,30,0,,13,1380,Brazil,Brazil,right,182,82,no,7.26,2.160357,4.325341999999999,0.63,0.350028,0.28,0.02,0.01,0.49,3.905376,0.35,0.07,0.35,RJ,Testing,2024,0.3202113951249871,0.2422614984499381,0.2812364467874626
24,Ryan,Boavista,Boavista,"LCMF, RCMF",LCMF,8,21,0,,14,1186,Brazil,Brazil,right,0,0,no,5.46,2.199703,5.917644,0.61,2.20269,3.49,0.09,0.08,1.29,6.604015,1.29,0.23,1.366394,RJ,Testing,2024,0.7097756378257468,0.7225314317663947,0.7161535347960707
25,Kaué,Botafogo,Botafogo,"RCMF, LCMF, CF",RCMF,8,19,0,,10,747,Brazil,Brazil,,0,0,no,5.54,0.96393,2.407275,1.81,0.845,1.2,0.18,0.07,0.84,3.0125,1.08,0.6,0.7243339999999999,RJ,Testing,2024,0.06137974721984873,0.04271345523048465,0.05204660122516669
0,M. Villasanti,Grêmio,Grêmio,"RCMF, RDMF, DMF",RCMF,8,27,4000000,2027-12-31,14,1370,Paraguay,Paraguay,right,178,74,no,9.14,0.775,3.936,0.98,0.704376,1.34,0.05,0.08,0.49,4.426326,0.84,0.35,0.914671,RS,Testing,2024,0.5363034170255412,0.6080506571783544,0.5751032522955699
1,Pepê,Grêmio,Grêmio,"LCMF, LDMF",LCMF,8,26,1800000,2025-12-31,14,1114,Brazil,Brazil,right,183,77,no,8.44,1.846624,5.890698,1.23,1.408,1.41,0.05,0.04,0.7,5.622094000000001,0.97,0.18,1.05709,RS,Testing,2024,1.0,0.9898236875484818,1.0
2,Marcinho,Brasil de Pelotas,Brasil de Pelotas,"RCMF, RW, RDMF",RCMF,8,24,200000,,10,786,Brazil,Brazil,right,182,75,no,7.56,1.032666,2.521104,0.34,1.948324,0.92,0.13,0.04,0.69,3.20508,0.0,0.11,0.23,RS,Testing,2024,0.1330209178203252,0.1687156968563701,0.1516398747109314
3,Nonato,EC São José,EC São José,LCMF,LCMF,8,28,100000,,12,1130,Brazil,Brazil,right,179,72,no,8.2,1.433667,2.866122,1.27,0.319984,0.24,0.04,0.06,1.04,2.392905,0.4,0.0,0.240032,RS,Testing,2024,0.2033633245843205,0.1984128481894202,0.2019154638111381
4,Daniel Pereira,Santa Cruz RS,Santa Cruz RS,"RCMF, RDMF, LDMF",RCMF,8,34,0,,9,786,Brazil,Brazil,right,179,78,no,12.14,0.343892,3.209013,0.23,0.345,0.34,0.0,0.01,0.23,4.12,0.34,0.11,0.45712,RS,Testing,2024,0.432529020865953,0.4963024669607697,0.4667908486761804
